Round,BCA Energy (J),BCA Alive,LEACH Energy (J),LEACH Alive,DEEC Energy (J),DEEC Alive,SEP Energy (J),SEP Alive
0,54.976956,100,54.951227,100,54.953588,100,54.942052,100
1,54.953912,100,54.899433,100,54.855099,100,54.893330,100
2,54.930868,100,54.835984,100,54.806166,100,54.842616,100
3,54.907825,100,54.770509,100,54.758437,100,54.780506,100
4,54.884781,100,54.721007,100,54.708722,100,54.732510,100
5,54.861737,100,54.668841,100,54.659426,100,54.685147,100
6,54.838693,100,54.583421,100,54.588029,100,54.635967,100
7,54.815649,100,54.523246,100,54.535484,100,54.586933,100
8,54.792605,100,54.425933,100,54.478720,100,54.426878,100
9,54.769562,100,54.369555,100,54.424829,100,54.376881,100
10,54.746518,100,54.247178,100,54.376605,100,54.323152,100
11,54.723474,100,54.198151,100,54.326843,100,54.252140,100
12,54.700430,100,54.149305,100,54.269884,100,54.091465,100
13,54.677386,100,54.087842,100,53.987692,100,54.030996,100
14,54.654342,100,53.995195,100,53.937427,100,53.978711,100
15,54.631299,100,53.946322,100,53.871407,100,53.930540,100
16,54.608255,100,53.884543,100,53.803296,100,53.880695,100
17,54.585211,100,53.835417,100,53.750530,100,53.632291,100
18,54.562167,100,53.785563,100,53.697354,100,53.579763,100
19,54.539123,100,53.734118,100,53.642563,100,53.527795,100
20,54.516079,100,53.554536,100,53.591925,100,53.479954,100
21,54.493036,100,53.439007,100,53.417338,100,53.417046,100
22,54.469992,100,53.342741,100,53.121234,100,53.343683,100
23,54.446948,100,53.058055,100,53.024137,100,53.264233,100
24,54.423904,100,52.986292,100,52.874591,100,53.170791,100
25,54.400860,100,52.849273,100,52.687779,100,53.010737,100
26,54.377816,100,52.764115,100,52.627617,100,52.898655,100
27,54.354772,100,52.673118,100,52.536453,100,52.800500,100
28,54.331729,100,52.598992,100,52.469102,100,52.652568,100
29,54.308685,100,52.545770,100,52.417647,100,52.532799,100
30,54.285641,100,52.479829,100,52.333676,100,52.474110,100
31,54.262597,100,52.361831,100,52.241634,100,52.425608,100
32,54.239553,100,52.316621,100,52.193684,100,52.379626,100
33,54.216509,100,52.265915,100,52.094329,100,51.988298,100
34,54.193466,100,52.208999,100,52.042233,100,51.870097,100
35,54.170422,100,52.161029,100,51.981267,100,51.780273,100
36,54.147378,100,52.109947,100,51.929425,100,51.716143,100
37,54.124334,100,52.059558,100,51.872437,100,51.661957,100
38,54.101290,100,52.011962,100,51.824834,100,51.612686,100
39,54.078246,100,51.967080,100,51.777841,100,51.557594,100
40,54.055203,100,51.871958,100,51.728275,100,51.510556,100
41,54.032159,100,51.753959,100,51.682067,100,51.452269,100
42,54.009115,100,51.635961,100,51.508922,100,51.407370,100
43,53.986071,100,51.544622,100,51.428145,100,51.362623,100
44,53.963027,100,51.447477,100,51.276223,100,51.265526,100
45,53.939983,100,51.332209,100,51.160955,100,50.932033,100
46,53.916939,100,51.266333,100,51.052012,100,50.753360,100
47,53.893896,100,50.981647,100,50.941658,100,50.618259,100
48,53.870852,100,50.905712,100,50.731484,100,50.526921,100
49,53.847808,100,50.786371,100,50.680308,100,50.367340,100
50,53.824764,100,50.694914,100,50.549570,100,50.207285,100
51,53.801720,100,50.579646,100,50.434349,100,50.133922,100
52,53.778676,100,50.530207,100,50.152157,100,49.968138,100
53,53.755633,100,50.478928,100,50.095574,100,49.884975,100
54,53.732589,100,50.415176,100,50.041123,100,49.836225,100
55,53.709545,100,50.357501,100,49.825914,100,49.444896,100
56,53.686501,100,50.307439,100,49.742441,100,49.263214,100
57,53.663457,100,50.257610,100,49.659826,100,49.189818,100
58,53.640413,100,50.211709,100,49.606649,100,49.073937,100
59,53.617370,100,50.165906,100,49.562359,100,49.023342,100
60,53.594326,100,50.019721,100,49.514377,100,48.934291,100
61,53.571282,100,49.766127,100,49.454152,100,48.876756,100
62,53.548238,100,49.481441,100,49.409568,100,48.830010,100
63,53.525194,100,49.266499,100,49.356042,100,48.772894,100
64,53.502150,100,49.151278,100,49.298513,100,48.727558,100
65,53.479107,100,48.991224,100,49.247232,100,48.682499,100
66,53.456063,100,48.781640,100,49.186974,100,48.504533,100
67,53.433019,100,48.531127,100,49.130305,100,48.385248,100
68,53.409975,100,48.411841,100,48.848113,100,48.118560,100
69,53.386931,100,48.127155,100,48.796842,100,48.009618,100
70,53.363887,100,47.983770,100,48.460421,100,47.874516,100
71,53.340843,100,47.915159,100,48.285810,100,47.777371,100
72,53.317800,100,47.855882,100,48.071590,100,47.613499,100
73,53.294756,100,47.758785,100,47.993944,100,47.491280,100
74,53.271712,100,47.612600,100,47.881862,100,47.358263,100
75,53.248668,100,47.506427,100,47.833445,100,47.276209,100
76,53.225624,100,47.425450,100,47.778727,100,47.226682,100
77,53.202580,100,47.377794,100,47.694420,100,47.062569,100
78,53.179537,100,47.332341,100,47.627779,100,46.843335,100
79,53.156493,100,47.283685,100,47.583072,100,46.557827,100
80,53.133449,100,47.159419,100,47.505430,100,46.454303,100
81,53.110405,100,47.076256,100,47.447505,100,46.323075,100
82,53.087361,100,46.867808,100,47.397772,100,46.178720,100
83,53.064317,100,46.728908,100,47.352572,100,46.075197,100
84,53.041274,100,46.627357,100,46.961243,100,46.024424,100
85,53.018230,100,46.540379,100,46.824223,100,45.972648,100
86,52.995186,100,46.206886,100,46.750106,100,45.928392,100
87,52.972142,100,46.105334,100,46.702525,100,45.882508,100
88,52.949098,100,45.886100,100,46.632556,100,45.704542,100
89,52.926054,100,45.601414,100,46.580625,100,45.524961,100
90,52.903010,100,45.319026,100,46.514568,100,45.402741,100
91,52.879967,100,45.197534,100,46.461025,100,45.299670,100
92,52.856923,100,44.864041,100,46.379107,100,45.096840,100
93,52.833879,100,44.613527,100,46.311910,100,44.848436,100
94,52.810835,100,44.457572,100,46.029522,100,44.733215,100
95,52.787791,100,44.355925,100,45.938591,100,44.453483,100
96,52.764747,100,44.261343,100,45.848230,100,44.157378,100
97,52.741704,100,44.211758,100,45.781300,100,44.074215,100
98,52.718660,100,44.168033,100,45.714004,100,44.024842,100
99,52.695616,100,44.118308,100,45.665947,100,43.903351,100
100,52.672572,100,44.023185,100,45.451005,100,43.747396,100
101,52.649528,100,43.926040,100,45.381578,100,43.537221,100
102,52.626484,100,43.672446,100,45.333180,100,43.255029,100
103,52.603441,100,43.421933,100,45.286405,100,43.111643,100
104,52.580397,100,43.323778,100,45.239650,100,43.023299,100
105,52.557353,100,43.098682,100,45.182446,100,42.857496,100
106,52.534309,100,42.879449,100,45.112207,100,42.802324,100
107,52.511265,100,42.664239,100,45.013253,100,42.747039,100
108,52.488221,100,42.531223,100,44.959601,100,42.702066,100
109,52.465178,100,42.251490,100,44.912009,100,42.655362,100
110,52.442134,100,42.116389,100,44.790517,100,42.557207,100
111,52.419090,100,41.940620,100,44.664283,100,42.367049,100
112,52.396046,100,41.866574,100,44.570688,100,42.234032,100
113,52.373002,100,41.751044,100,44.522043,100,42.019812,100
114,52.349958,100,41.564232,100,44.271325,100,41.686320,100
115,52.326914,100,41.350012,100,44.216160,100,41.568321,100
116,52.303871,100,41.203827,100,44.157700,100,41.473199,100
117,52.280827,100,41.140813,100,44.108488,100,41.139706,100
118,52.257783,100,41.096452,100,44.056988,100,40.920472,100
119,52.234739,100,41.047256,100,44.006108,100,40.774287,100
120,52.211695,100,40.952134,100,43.831498,100,40.725397,100
121,52.188651,100,40.733091,100,43.775686,100,40.561525,100
122,52.165608,100,40.580091,100,43.670281,100,40.426424,100
123,52.142564,100,40.283986,100,43.613320,100,40.251837,100
124,52.119520,100,40.064753,100,43.561682,100,40.153682,100
125,52.096476,100,39.779244,100,43.514813,100,39.871294,100
126,52.073432,100,39.460434,100,43.405750,100,39.681136,100
127,52.050388,100,39.382792,100,43.334356,100,39.427543,100
128,52.027345,100,39.309396,100,43.273229,100,39.260238,100
129,52.004301,100,39.194128,100,43.200434,100,39.187390,100
130,51.981257,100,39.085185,100,43.147699,100,39.140379,100
131,51.958213,100,38.962966,100,43.098367,100,39.092965,100
132,51.935169,100,38.850884,100,42.992152,100,38.877756,100
133,51.912125,100,38.747813,100,42.889847,100,38.624162,100
134,51.889082,100,38.632592,100,42.841299,100,38.438271,100
135,51.866038,100,38.531040,100,42.710225,100,38.119460,100
136,51.842994,100,38.439702,100,42.648739,100,38.000174,100
137,51.819950,100,38.358292,100,42.599858,100,37.898527,100
138,51.796906,100,38.309506,100,42.547394,100,37.807189,100
139,51.773862,100,38.260893,100,42.501613,100,37.621297,100
140,51.750818,100,38.101562,100,42.448439,100,37.526175,100
141,51.727775,100,38.028199,100,42.389542,100,37.277771,100
142,51.704731,100,37.954802,100,42.307623,100,37.228880,100
143,51.681687,100,37.672414,100,42.254860,100,37.131735,100
144,51.658643,100,37.531758,100,42.189688,100,36.883331,100
145,51.635599,100,37.371704,100,42.043503,100,36.674883,100
146,51.612555,100,37.223771,100,41.996242,100,36.521883,100
147,51.589512,100,37.036959,100,41.940407,100,36.426761,100
148,51.566468,100,36.932626,100,41.879052,100,36.207718,100
149,51.543424,100,36.682112,100,41.824456,100,36.098775,100
150,51.520380,100,36.467170,100,41.759054,100,36.021133,100
151,51.497336,100,36.148359,100,41.580380,100,35.931495,100
152,51.474292,100,36.013258,100,41.520882,100,35.852590,100
153,51.451249,100,35.939211,100,41.471463,100,35.805228,100
154,51.428205,100,35.685841,100,41.416020,100,35.585995,100
155,51.405161,100,35.576898,100,41.298675,100,35.438062,100
156,51.382117,100,35.437998,100,41.250018,100,35.331889,100
157,51.359073,100,35.284998,100,41.152872,100,35.258493,100
158,51.336029,100,35.218725,100,41.075265,100,35.167155,100
159,51.312985,100,35.169863,100,41.029941,100,35.055073,100
160,51.289942,100,35.092221,100,40.938196,100,34.968095,100
161,51.266898,100,34.905409,100,40.871739,100,34.865024,100
162,51.243854,100,34.726736,100,40.821072,100,34.700911,100
163,51.220810,100,34.642428,100,40.756662,100,34.579420,100
164,51.197766,100,34.527160,100,40.702304,100,34.530529,100
165,51.174722,100,34.416807,100,40.586775,100,34.420176,100
166,51.151679,100,34.263806,100,40.532026,100,34.310061,99
167,51.128635,100,34.013293,100,40.485243,100,34.131079,99
168,51.105591,100,33.826603,100,40.389055,100,34.038548,99
169,51.082547,100,33.748961,100,40.338800,100,33.813974,99
170,51.059503,100,33.655290,99,40.289032,100,33.583414,99
171,51.036459,100,33.448229,99,40.208376,100,33.406483,99
172,51.013416,100,33.360998,99,40.158448,100,33.331770,99
173,50.990372,100,33.130438,99,40.108036,100,33.246580,99
174,50.967328,100,32.952378,99,40.054664,100,33.011759,99
175,50.944284,100,32.806715,99,40.004383,100,32.965272,99
176,50.921240,100,32.674995,99,39.887435,100,32.788341,99
177,50.898196,100,32.587764,99,39.832413,100,32.587096,98
178,50.875153,100,32.517605,99,39.764089,100,32.500295,98
179,50.852109,100,32.469997,99,39.717662,100,32.226196,98
180,50.829065,100,32.320226,98,39.620516,100,32.017826,98
181,50.806021,100,32.220732,98,39.489442,100,31.925860,98
182,50.782977,100,32.023947,98,39.437611,100,31.771626,98
183,50.759933,100,31.861847,98,39.386132,100,31.550303,98
184,50.736889,100,31.550943,98,39.286356,100,31.379047,98
185,50.713846,100,31.428059,98,39.231999,100,31.201433,98
186,50.690802,100,31.324295,98,39.179937,100,31.153554,98
187,50.667758,100,31.013391,98,39.111023,100,31.056518,98
188,50.644714,100,30.783532,98,39.066499,100,30.942165,98
189,50.621670,100,30.553672,98,39.007890,100,30.707779,98
190,50.598626,100,30.460833,98,38.933629,100,30.574001,98
191,50.575583,100,30.258067,98,38.821052,100,30.319893,98
192,50.552539,100,29.939906,98,38.726632,100,30.140865,98
193,50.529495,100,29.817022,98,38.539820,100,29.956731,98
194,50.506451,100,29.588326,97,38.488092,100,29.839444,98
195,50.483407,100,29.387992,97,38.411200,100,29.511990,98
196,50.460363,100,29.298645,97,38.360280,100,29.293601,97
197,50.437320,100,29.205891,97,38.313255,100,29.248965,97
198,50.414276,100,29.038510,97,38.264327,100,29.157550,97
199,50.391232,100,28.992668,97,38.209628,100,29.004942,97
200,50.368188,100,28.845459,97,38.023737,100,28.730899,97
201,50.345144,100,28.644584,97,37.804693,100,28.461131,96
202,50.322100,100,28.335261,96,37.614536,100,28.314424,96
203,50.299056,100,28.215394,96,37.555676,100,28.086009,96
204,50.276013,100,28.075883,96,37.506420,100,28.008157,96
205,50.252969,100,27.980730,96,37.433433,100,27.895126,96
206,50.229925,100,27.864945,96,37.200165,100,27.705500,96
207,50.206881,100,27.795615,96,37.148002,100,27.621332,96
208,50.183837,100,27.641937,96,37.098329,100,27.574478,96
209,50.160793,100,27.494873,95,37.036639,100,27.370137,95
210,50.137750,100,27.374387,95,36.954482,100,27.193538,95
211,50.114706,100,27.256525,94,36.897692,100,27.007341,95
212,50.091662,100,27.156853,94,36.825771,100,26.918051,95
213,50.068618,100,27.001109,94,36.779815,100,26.794975,95
214,50.045574,100,26.876827,93,36.733562,100,26.499447,94
215,50.022530,100,26.805278,93,36.686249,100,26.284805,94
216,49.999487,100,26.710356,93,36.633141,100,26.070474,94
217,49.976443,100,26.524859,92,36.587267,100,25.921286,94
218,49.953399,100,26.433130,92,36.474526,100,25.822507,94
219,49.930355,100,26.392711,92,36.418193,100,25.780594,94
220,49.907311,100,26.303059,91,36.348108,100,25.587226,94
221,49.884267,100,26.241224,91,36.270466,100,25.499938,94
222,49.861224,100,26.095272,91,36.219449,100,25.315919,94
223,49.838180,100,25.944337,91,36.170881,100,25.241605,93
224,49.815136,100,25.770639,91,36.118018,100,25.109316,93
225,49.792092,100,25.652185,90,36.069340,100,24.905877,93
226,49.769048,100,25.426093,89,36.010895,100,24.673681,93
227,49.746004,100,25.252639,89,35.951898,100,24.537425,93
228,49.722960,100,25.117939,89,35.853348,100,24.349439,93
229,49.699917,100,24.872059,89,35.788294,100,24.161453,93
230,49.676873,100,24.729664,89,35.739193,100,24.115994,93
231,49.653829,100,24.574836,89,35.679367,100,23.968469,93
232,49.630785,100,24.415301,89,35.625398,100,23.831077,92
233,49.607741,100,24.277649,88,35.566610,100,23.717807,91
234,49.584697,100,24.199681,88,35.476440,100,23.620264,91
235,49.561654,100,24.109248,88,35.414532,100,23.458143,90
236,49.538610,100,24.011455,87,35.360444,100,23.228387,89
237,49.515566,100,23.944035,87,35.304343,100,23.114616,89
238,49.492522,100,23.846436,87,35.255144,100,22.909684,89
239,49.469478,100,23.809457,87,35.205349,100,22.849915,89
240,49.446434,100,23.671570,87,35.155723,100,22.674648,89
241,49.423391,100,23.521038,87,35.088495,100,22.636689,89
242,49.400347,100,23.391959,87,35.041709,100,22.547710,89
243,49.377303,100,23.245066,86,34.935890,100,22.455232,89
244,49.354259,100,23.084066,86,34.757217,100,22.335301,89
245,49.331215,100,22.977373,86,34.706789,100,22.224228,89
246,49.308171,100,22.854668,86,34.650495,100,22.121429,89
247,49.285128,100,22.798974,86,34.546162,100,21.971701,88
