Round,BCA Energy (J),BCA Alive,LEACH Energy (J),LEACH Alive,DEEC Energy (J),DEEC Alive,SEP Energy (J),SEP Alive
0,54.977497,100,54.944739,100,54.948179,100,54.937155,100
1,54.954995,100,54.896186,100,54.879772,100,54.889476,100
2,54.932492,100,54.845256,100,54.828044,100,54.830097,100
3,54.909989,100,54.784579,100,54.768533,100,54.783368,100
4,54.887486,100,54.722713,100,54.716082,100,54.724703,100
5,54.864984,100,54.673056,100,54.668238,100,54.671216,100
6,54.842481,100,54.623385,100,54.611743,100,54.622010,100
7,54.819978,100,54.556462,100,54.539870,100,54.573782,100
8,54.797476,100,54.504961,100,54.491618,100,54.519379,100
9,54.774973,100,54.454537,100,54.439991,100,54.471846,100
10,54.752470,100,54.404380,100,54.393180,100,54.367984,100
11,54.729968,100,54.356768,100,54.341270,100,54.301209,100
12,54.707465,100,54.293164,100,54.289242,100,54.254914,100
13,54.684962,100,54.245507,100,54.240664,100,54.127372,100
14,54.662459,100,54.198923,100,54.189394,100,54.075665,100
15,54.639957,100,54.138357,100,54.142759,100,53.993792,100
16,54.617454,100,54.087419,100,54.064445,100,53.936025,100
17,54.594951,100,54.019148,100,54.013496,100,53.888036,100
18,54.572449,100,53.949160,100,53.964829,100,53.835112,100
19,54.549946,100,53.898940,100,53.917096,100,53.787454,100
20,54.527443,100,53.781055,100,53.862424,100,53.741441,100
21,54.504941,100,53.568038,100,53.806663,100,53.690193,100
22,54.482438,100,53.371621,100,53.669624,100,53.619634,100
23,54.459935,100,53.166676,100,53.515490,100,53.506785,100
24,54.437432,100,53.112542,100,53.361357,100,53.263693,100
25,54.414930,100,53.051806,100,53.177477,100,53.157491,100
26,54.392427,100,52.981271,100,53.125480,100,53.087029,100
27,54.369924,100,52.930542,100,53.057473,100,53.031077,100
28,54.347422,100,52.853069,100,52.999808,100,52.918962,100
29,54.324919,100,52.791564,100,52.803390,100,52.868112,100
30,54.302416,100,52.735632,100,52.698403,100,52.768822,100
31,54.279914,100,52.687028,100,52.647225,100,52.720705,100
32,54.257411,100,52.621181,100,52.594374,100,52.665106,100
33,54.234908,100,52.575235,100,52.531691,100,52.597668,100
34,54.212405,100,52.529045,100,52.480948,100,52.523249,100
35,54.189903,100,52.473173,100,52.430566,100,52.452713,100
36,54.167400,100,52.408825,100,52.379574,100,52.397945,100
37,54.144897,100,52.364412,100,52.331387,100,52.350100,100
38,54.122395,100,52.318897,100,52.284595,100,52.296398,100
39,54.099892,100,52.273747,100,52.237740,100,52.245804,100
40,54.077389,100,52.199850,100,52.186129,100,52.198759,100
41,54.054887,100,51.987792,100,52.136306,100,52.152651,100
42,54.032384,100,51.909292,100,52.041420,100,52.108929,100
43,54.009881,100,51.829516,100,51.978036,100,52.065336,100
44,53.987378,100,51.711631,100,51.895072,100,51.817949,100
45,53.964876,100,51.497358,100,51.834189,100,51.681904,100
46,53.942373,100,51.300940,100,51.542301,100,51.615148,100
47,53.919870,100,51.230404,100,51.481654,100,51.510452,100
48,53.897368,100,51.165179,100,51.347231,100,51.267360,100
49,53.874865,100,51.086679,100,51.297771,100,51.146508,100
50,53.852362,100,51.029410,100,51.176057,100,50.996621,100
51,53.829859,100,50.974637,100,50.939581,100,50.771420,100
52,53.807357,100,50.909903,100,50.821696,100,50.681792,100
53,53.784854,100,50.849441,100,50.731479,100,50.633426,100
54,53.762351,100,50.794118,100,50.651724,100,50.586852,100
55,53.739849,100,50.744576,100,50.547027,100,50.415940,100
56,53.717346,100,50.698881,100,50.492159,100,50.355292,100
57,53.694843,100,50.654482,100,50.414935,100,50.273122,100
58,53.672341,100,50.609999,100,50.360859,100,50.176869,100
59,53.649838,100,50.565054,100,50.313315,100,50.105087,100
60,53.627335,100,50.379756,100,50.264394,100,50.043112,100
61,53.604832,100,50.312107,100,50.219790,100,49.994355,100
62,53.582330,100,50.162220,100,50.175610,100,49.942141,100
63,53.559827,100,49.893770,100,50.092646,100,49.898195,100
64,53.537324,100,49.712962,100,50.044057,100,49.853778,100
65,53.514822,100,49.524385,100,49.994007,100,49.810531,100
66,53.492319,100,49.400079,100,49.820609,100,49.614674,100
67,53.469816,100,49.320835,100,49.696303,100,49.544116,100
68,53.447314,100,49.073448,100,49.623313,100,49.395924,100
69,53.424811,100,48.972835,100,49.572019,100,49.270135,100
70,53.402308,100,48.747635,100,49.335543,100,49.169522,100
71,53.379805,100,48.581156,100,49.092450,100,49.079305,100
72,53.357303,100,48.368140,100,49.013946,100,48.925172,100
73,53.334800,100,48.307819,100,48.950492,100,48.825597,100
74,53.312297,100,48.183513,100,48.870715,100,48.726021,100
75,53.289795,100,48.118602,100,48.806365,100,48.646778,100
76,53.267292,100,48.067122,100,48.717659,100,48.598668,100
77,53.244789,100,48.017750,100,48.607497,100,48.392504,100
78,53.222287,100,47.974253,100,48.519713,100,48.245022,100
79,53.199784,100,47.930331,100,48.472807,100,48.158675,100
80,53.177281,100,47.824980,100,48.414319,100,48.046560,100
81,53.154778,100,47.687941,100,48.345379,100,47.833543,100
82,53.132276,100,47.540459,100,48.296644,100,47.730338,100
83,53.109773,100,47.472989,100,48.251788,100,47.555942,100
84,53.087270,100,47.229896,100,48.200781,100,47.507227,100
85,53.064768,100,47.125321,100,48.144826,100,47.460077,100
86,53.042265,100,46.944513,100,48.097092,100,47.414293,100
87,53.019762,100,46.697127,100,48.047814,100,47.369455,100
88,52.997260,100,46.549645,100,47.960030,100,47.195059,100
89,52.974757,100,46.401153,100,47.911000,100,47.090483,100
90,52.952254,100,46.215856,100,47.770854,100,46.972598,100
91,52.929751,100,46.103741,100,47.556581,100,46.871985,100
92,52.907249,100,45.890724,100,47.399176,100,46.794760,100
93,52.884746,100,45.810342,100,47.130725,100,46.640627,100
94,52.862243,100,45.752864,100,47.023147,100,46.484721,100
95,52.839741,100,45.655458,100,46.958929,100,46.337412,100
96,52.817238,100,45.592426,100,46.892135,100,46.252799,100
97,52.794735,100,45.387482,100,46.840821,100,46.173555,100
98,52.772232,100,45.342865,100,46.780516,100,46.125445,100
99,52.749730,100,45.299243,100,46.725616,100,45.856995,100
100,52.727227,100,45.051856,100,46.661697,100,45.777527,100
101,52.704724,100,44.837584,100,46.611574,100,45.698283,100
102,52.682222,100,44.637623,100,46.551734,100,45.502426,100
103,52.659719,100,44.481717,100,46.505321,100,45.355117,100
104,52.637216,100,44.415665,100,46.460723,100,45.184205,100
105,52.614714,100,44.291359,100,46.403644,100,45.103823,100
106,52.592211,100,44.103216,100,46.330196,100,45.044383,100
107,52.569708,100,43.951927,100,46.209001,100,44.993354,100
108,52.547205,100,43.839811,100,46.159109,100,44.943558,100
109,52.524703,100,43.756847,100,46.112629,100,44.899355,100
110,52.502200,100,43.599442,100,45.975590,100,44.802685,100
111,52.479697,100,43.533391,100,45.915805,100,44.618558,100
112,52.457195,100,43.320374,100,45.731924,100,44.492522,100
113,52.434692,100,43.237410,100,45.664230,100,44.413055,100
114,52.412189,100,43.070931,100,45.545496,100,44.335905,100
115,52.389687,100,42.973526,100,45.496739,100,44.139487,100
116,52.367184,100,42.895837,100,45.420987,100,44.033285,100
117,52.344681,100,42.690893,100,45.362779,100,43.790193,100
118,52.322178,100,42.644621,100,45.306616,100,43.553717,100
119,52.299676,100,42.601326,100,45.258633,100,43.310624,100
120,52.277173,100,42.393479,100,45.206085,100,43.263453,100
121,52.254670,100,42.162124,100,45.012808,100,43.137664,100
122,52.232168,100,42.067984,100,44.961496,100,42.935815,100
123,52.209665,100,42.001229,100,44.894206,100,42.739958,100
124,52.187162,100,41.843824,100,44.819927,100,42.634607,100
125,52.164660,100,41.746518,100,44.775108,100,42.487298,100
126,52.142157,100,41.643313,100,44.705730,100,42.281133,100
127,52.119654,100,41.561142,100,44.587845,100,42.195056,100
128,52.097151,100,41.318049,100,44.439353,100,41.982998,100
129,52.074649,100,41.203306,100,44.387306,100,41.921479,100
130,52.052146,100,41.122816,100,44.274457,100,41.868389,100
131,52.029643,100,41.045667,100,44.225203,100,41.824233,100
132,52.007141,100,40.832650,100,44.156914,100,41.699927,100
133,51.984638,100,40.619634,100,44.090915,100,41.519120,100
134,51.962135,100,40.453155,100,44.039541,100,41.317271,100
135,51.939633,100,40.355750,100,43.990968,100,41.169962,100
136,51.917130,100,40.184838,100,43.941972,100,41.043926,100
137,51.894627,100,39.979894,100,43.893472,100,40.775475,100
138,51.872124,100,39.925064,100,43.843828,100,40.573627,100
139,51.849622,100,39.881903,100,43.790780,100,40.487549,100
140,51.827119,100,39.715425,100,43.737522,100,40.407772,100
141,51.804616,100,39.635957,100,43.656676,100,40.219249,100
142,51.782114,100,39.421685,100,43.582936,100,40.172077,100
143,51.759611,100,39.327545,100,43.493258,100,39.973833,100
144,51.737108,100,39.253648,100,43.430439,100,39.777976,100
145,51.714605,100,39.140799,100,43.339481,100,39.673279,100
146,51.692103,100,39.070241,100,43.294217,100,39.567928,100
147,51.669600,100,38.922932,100,43.113410,100,39.299478,100
148,51.647097,100,38.826262,100,42.916992,100,39.143572,100
149,51.624595,100,38.632984,100,42.865403,100,38.931514,100
150,51.602092,100,38.515099,100,42.803797,100,38.866289,100
151,51.579589,100,38.401248,100,42.756190,100,38.799723,100
152,51.557087,100,38.333598,100,42.672084,100,38.738082,100
153,51.534584,100,38.254354,100,42.618907,100,38.694299,100
154,51.512081,100,38.160215,100,42.560147,100,38.538393,100
155,51.489578,100,37.993736,100,42.506237,100,38.336544,100
156,51.467076,100,37.780720,100,42.454750,100,38.131600,100
157,51.444573,100,37.575776,100,42.407797,100,37.919542,100
158,51.422070,100,37.507111,100,42.360638,100,37.713378,100
159,51.399568,100,37.463452,100,42.313288,100,37.529498,100
160,51.377065,100,37.279325,100,42.261672,100,37.414754,100
161,51.354562,100,37.202175,100,42.206929,100,37.202696,100
162,51.332060,100,37.096824,100,42.147869,100,37.098120,100
163,51.309557,100,36.916017,100,42.039369,100,37.017738,100
164,51.287054,100,36.836549,100,41.962040,100,36.970566,100
165,51.264551,100,36.765991,100,41.899396,100,36.857231,100
166,51.242049,100,36.561047,100,41.850860,100,36.767015,100
167,51.219546,100,36.313660,100,41.795816,100,36.618823,100
168,51.197043,100,36.240579,100,41.747352,100,36.471514,100
169,51.174541,100,36.146439,100,41.699529,100,36.311901,100
170,51.152038,100,36.046864,100,41.642109,100,36.020013,100
171,51.129535,100,35.810388,100,41.579843,100,35.885591,100
172,51.107033,100,35.620884,100,41.512194,100,35.802626,100
173,51.084530,100,35.516308,100,41.412687,100,35.684741,100
174,51.062027,100,35.323030,100,41.363094,100,35.629439,100
175,51.039524,100,35.168897,100,41.317873,100,35.585495,100
