Round,BCA Energy (J),BCA Alive,LEACH Energy (J),LEACH Alive,DEEC Energy (J),DEEC Alive,SEP Energy (J),SEP Alive
1082,25.117197,97,0.566450,3,0.000000,0,0.516095,5
1083,25.090989,97,0.565000,3,0.000000,0,0.513887,5
1084,25.064782,97,0.563000,3,0.000000,0,0.511679,5
1085,25.038574,97,0.561550,3,0.000000,0,0.509471,5
1086,25.012367,97,0.559647,3,0.000000,0,0.506485,5
1087,24.986159,97,0.558197,3,0.000000,0,0.504277,5
1088,24.959952,97,0.556197,3,0.000000,0,0.502443,5
1089,24.933744,97,0.554197,3,0.000000,0,0.500234,5
1090,24.907536,97,0.552294,3,0.000000,0,0.497822,5
1091,24.881329,97,0.550844,3,0.000000,0,0.494836,5
1092,24.855121,97,0.548844,3,0.000000,0,0.491850,5
1093,24.828914,97,0.546942,3,0.000000,0,0.489651,5
1094,24.802706,97,0.544942,3,0.000000,0,0.487238,5
1095,24.776499,97,0.543491,3,0.000000,0,0.485040,5
1096,24.750291,97,0.541589,3,0.000000,0,0.482841,5
1097,24.724083,97,0.539589,3,0.000000,0,0.480428,5
1098,24.697876,97,0.538138,3,0.000000,0,0.477333,5
1099,24.671668,97,0.537257,3,0.000000,0,0.476043,5
1100,24.645461,97,0.535257,3,0.000000,0,0.473835,5
1101,24.619253,97,0.533257,3,0.000000,0,0.471422,5
1102,24.593046,97,0.531258,3,0.000000,0,0.469214,5
1103,24.566838,97,0.529807,3,0.000000,0,0.467015,5
1104,24.540630,97,0.527807,3,0.000000,0,0.463920,5
1105,24.514423,97,0.525807,3,0.000000,0,0.461508,5
1106,24.488215,97,0.524357,3,0.000000,0,0.459309,5
1107,24.462008,97,0.522907,3,0.000000,0,0.456896,5
1108,24.435800,97,0.521456,3,0.000000,0,0.454688,5
1109,24.409593,97,0.520006,3,0.000000,0,0.452276,5
1110,24.383385,97,0.518555,3,0.000000,0,0.450441,5
1111,24.357177,97,0.517105,3,0.000000,0,0.447455,5
1112,24.330970,97,0.515105,3,0.000000,0,0.444360,5
1113,24.304762,97,0.513105,3,0.000000,0,0.442161,5
1114,24.278555,97,0.511203,3,0.000000,0,0.439962,5
1115,24.252347,97,0.509203,3,0.000000,0,0.437754,5
1116,24.226139,97,0.507300,3,0.000000,0,0.434659,5
1117,24.199932,97,0.505398,3,0.000000,0,0.432460,5
1118,24.173724,97,0.503947,3,0.000000,0,0.430252,5
1119,24.147924,96,0.503066,3,0.000000,0,0.428044,5
1120,24.122163,96,0.501616,3,0.000000,0,0.424949,5
1121,24.096402,96,0.499713,3,0.000000,0,0.423659,5
1122,24.070642,96,0.497713,3,0.000000,0,0.420564,5
1123,24.044881,96,0.496263,3,0.000000,0,0.417577,5
1124,24.019120,96,0.494263,3,0.000000,0,0.415369,5
1125,23.993359,96,0.492263,3,0.000000,0,0.413161,5
1126,23.967598,96,0.490360,3,0.000000,0,0.410749,5
1127,23.941838,96,0.488458,3,0.000000,0,0.407653,5
1128,23.916077,96,0.486458,3,0.000000,0,0.404558,5
1129,23.890316,96,0.485008,3,0.000000,0,0.401572,5
1130,23.864555,96,0.483557,3,0.000000,0,0.398586,5
1131,23.838795,96,0.481655,3,0.000000,0,0.396378,5
1132,23.813034,96,0.480204,3,0.000000,0,0.394543,5
1133,23.787273,96,0.478204,3,0.000000,0,0.392345,5
1134,23.761512,96,0.476204,3,0.000000,0,0.390137,5
1135,23.735751,96,0.474754,3,0.000000,0,0.387724,5
1136,23.709991,96,0.472851,3,0.000000,0,0.385516,5
1137,23.684230,96,0.471401,3,0.000000,0,0.383103,5
1138,23.658469,96,0.469951,3,0.000000,0,0.380691,5
1139,23.632708,96,0.469069,3,0.000000,0,0.377596,5
1140,23.606947,96,0.467167,3,0.000000,0,0.374500,5
1141,23.581187,96,0.465167,3,0.000000,0,0.372088,5
1142,23.555426,96,0.463264,3,0.000000,0,0.369675,5
1143,23.529665,96,0.461362,3,0.000000,0,0.368385,5
1144,23.503904,96,0.459362,3,0.000000,0,0.365290,5
1145,23.478144,96,0.457459,3,0.000000,0,0.362195,5
1146,23.452383,96,0.455459,3,0.000000,0,0.359209,5
1147,23.426622,96,0.453460,3,0.000000,0,0.357000,5
1148,23.400861,96,0.452009,3,0.000000,0,0.354014,5
1149,23.375100,96,0.450107,3,0.000000,0,0.351602,5
1150,23.349340,96,0.448107,3,0.000000,0,0.349189,5
1151,23.323579,96,0.446107,3,0.000000,0,0.346777,5
1152,23.297818,96,0.444107,3,0.000000,0,0.344569,5
1153,23.272057,96,0.442204,3,0.000000,0,0.342360,5
1154,23.246297,96,0.440205,3,0.000000,0,0.340526,5
1155,23.220536,96,0.438754,3,0.000000,0,0.338114,5
1156,23.194775,96,0.436754,3,0.000000,0,0.335127,5
1157,23.169014,96,0.435304,3,0.000000,0,0.332715,5
1158,23.143253,96,0.433304,3,0.000000,0,0.330516,5
1159,23.117493,96,0.432423,3,0.000000,0,0.328308,5
1160,23.091732,96,0.430520,3,0.000000,0,0.326109,5
1161,23.065971,96,0.429070,3,0.000000,0,0.323901,5
1162,23.040210,96,0.427619,3,0.000000,0,0.322519,4
1163,23.014449,96,0.426169,3,0.000000,0,0.320012,4
1164,22.988689,96,0.424718,3,0.000000,0,0.317511,4
1165,22.962928,96,0.422816,3,0.000000,0,0.316423,4
1166,22.937167,96,0.420913,3,0.000000,0,0.314506,4
1167,22.911406,96,0.418913,3,0.000000,0,0.312726,4
1168,22.885646,96,0.417011,3,0.000000,0,0.310218,4
1169,22.859885,96,0.415560,3,0.000000,0,0.307718,4
1170,22.834124,96,0.414110,3,0.000000,0,0.305800,4
1171,22.808363,96,0.412660,3,0.000000,0,0.303882,4
1172,22.782602,96,0.411209,3,0.000000,0,0.301965,4
1173,22.756842,96,0.409209,3,0.000000,0,0.299457,4
1174,22.731081,96,0.407210,3,0.000000,0,0.296957,4
1175,22.705320,96,0.405759,3,0.000000,0,0.295177,4
1176,22.679559,96,0.404309,3,0.000000,0,0.293828,4
1177,22.653799,96,0.402309,3,0.000000,0,0.291328,4
1178,22.628038,96,0.400309,3,0.000000,0,0.288827,4
1179,22.602277,96,0.399428,3,0.000000,0,0.286327,4
1180,22.576516,96,0.397525,3,0.000000,0,0.283826,4
1181,22.550755,96,0.395525,3,0.000000,0,0.281326,4
1182,22.524995,96,0.393623,3,0.000000,0,0.278825,4
1183,22.499234,96,0.391623,3,0.000000,0,0.276908,4
1184,22.473473,96,0.389720,3,0.000000,0,0.274407,4
1185,22.447712,96,0.387818,3,0.000000,0,0.272489,4
1186,22.421952,96,0.386367,3,0.000000,0,0.270710,4
1187,22.396191,96,0.384367,3,0.000000,0,0.269622,4
1188,22.370430,96,0.382465,3,0.000000,0,0.267114,4
1189,22.344669,96,0.380562,3,0.000000,0,0.265335,4
1190,22.318908,96,0.378562,3,0.000000,0,0.263417,4
