Round,BCA Energy (J),BCA Alive,LEACH Energy (J),LEACH Alive,DEEC Energy (J),DEEC Alive,SEP Energy (J),SEP Alive
0,54.976121,100,54.944565,100,54.948264,100,54.937155,100
1,54.952242,100,54.895107,100,54.879986,100,54.888823,100
2,54.928363,100,54.843670,100,54.827752,100,54.829404,100
3,54.904484,100,54.783026,100,54.768081,100,54.781712,100
4,54.880605,100,54.720759,100,54.715845,100,54.723055,100
5,54.856726,100,54.670821,100,54.666740,100,54.669558,100
6,54.832847,100,54.621130,100,54.610343,100,54.619651,100
7,54.808968,100,54.554436,100,54.538398,100,54.570468,100
8,54.785089,100,54.502752,100,54.488899,100,54.516733,100
9,54.761210,100,54.451730,100,54.436976,100,54.468714,100
10,54.737331,100,54.401572,100,54.389642,100,54.364111,100
11,54.713452,100,54.353951,100,54.337087,100,54.297277,100
12,54.689573,100,54.290345,100,54.284996,100,54.250978,100
13,54.665694,100,54.242398,100,54.236270,100,54.122903,100
14,54.641815,100,54.195679,100,54.184859,100,54.071189,100
15,54.617936,100,54.133412,100,54.137685,100,53.988923,100
16,54.594056,100,54.082226,100,54.059008,100,53.930626,100
17,54.570177,100,54.013515,100,54.008251,100,53.880936,100
18,54.546298,100,53.942911,100,53.958088,100,53.827528,100
19,54.522419,100,53.892055,100,53.909604,100,53.779614,100
20,54.498540,100,53.774173,100,53.854896,100,53.733164,100
21,54.474661,100,53.560633,100,53.799076,100,53.682175,100
22,54.450782,100,53.363790,100,53.662001,100,53.611564,100
23,54.426903,100,53.158739,100,53.507667,100,53.498603,100
24,54.403024,100,53.104651,100,53.353333,100,53.255437,100
25,54.379145,100,53.043880,100,53.169107,100,53.149252,100
26,54.355266,100,52.973333,100,53.116079,100,53.078844,100
27,54.331387,100,52.922513,100,52.998197,100,53.022636,100
28,54.307508,100,52.844943,100,52.942978,100,52.910410,100
29,54.283629,100,52.783439,100,52.841524,100,52.858498,100
30,54.259750,100,52.726793,100,52.781192,100,52.759239,100
31,54.235871,100,52.678092,100,52.724105,100,52.710446,100
32,54.211992,100,52.612281,100,52.675616,100,52.655174,100
33,54.188113,100,52.565915,100,52.620765,100,52.586984,100
34,54.164234,100,52.519271,100,52.571303,100,52.512607,100
35,54.140355,100,52.463178,100,52.516336,100,52.442060,100
36,54.116476,100,52.398812,100,52.467946,100,52.386956,100
37,54.092597,100,52.352729,100,52.417566,100,52.337818,100
38,54.068718,100,52.305551,100,52.370672,100,52.283800,100
39,54.044839,100,52.259610,100,52.320084,100,52.232724,100
40,54.020960,100,52.185731,100,52.272521,100,52.184235,100
41,53.997081,100,51.973135,100,52.224049,100,52.137493,100
42,53.973202,100,51.894660,100,52.138698,100,52.092958,100
43,53.949323,100,51.814877,100,52.086989,100,52.049079,100
44,53.925444,100,51.696995,100,52.022361,100,51.801921,100
45,53.901565,100,51.482730,100,51.954317,100,51.665958,100
46,53.877686,100,51.285886,100,51.819812,100,51.599181,100
47,53.853807,100,51.215339,100,51.745287,100,51.494472,100
48,53.829928,100,51.150087,100,51.680129,100,51.251306,100
49,53.806048,100,51.071611,100,51.590076,100,51.130526,100
50,53.782169,100,51.014316,100,51.521958,100,50.980352,100
51,53.758290,100,50.958242,100,51.333476,100,50.755189,100
52,53.734411,100,50.893538,100,51.135873,100,50.664681,100
53,53.710532,100,50.833178,100,51.039595,100,50.616125,100
54,53.686653,100,50.777606,100,50.968366,100,50.569080,100
55,53.662774,100,50.727607,100,50.905602,100,50.398218,100
56,53.638895,100,50.681418,100,50.850773,100,50.337521,100
57,53.615016,100,50.636452,100,50.803105,100,50.255321,100
58,53.591137,100,50.590274,100,50.751105,100,50.159169,100
59,53.567258,100,50.543301,100,50.703294,100,50.087432,100
60,53.543379,100,50.358085,100,50.656148,100,50.025126,100
61,53.519500,100,50.290392,100,50.607570,100,49.975781,100
62,53.495621,100,50.140218,100,50.562602,100,49.922593,100
63,53.471742,100,49.871743,100,50.507196,100,49.878366,100
64,53.447863,100,49.690524,100,50.455874,100,49.831844,100
65,53.423984,100,49.502019,100,50.404317,100,49.786254,100
66,53.400105,100,49.377778,100,50.331422,100,49.589916,100
67,53.376226,100,49.298544,100,50.275157,100,49.519305,100
68,53.352347,100,49.051386,100,50.214435,100,49.371113,100
69,53.328468,100,48.950680,100,50.144199,100,49.245399,100
70,53.304589,100,48.725518,100,50.078947,100,49.144693,100
71,53.280710,100,48.559098,100,50.019583,100,49.054400,100
72,53.256831,100,48.345558,100,49.939800,100,48.900066,100
73,53.232952,100,48.285178,100,49.863981,100,48.800481,100
74,53.209073,100,48.160937,100,49.800407,100,48.700897,100
75,53.185194,100,48.096096,100,49.617313,100,48.621663,100
76,53.161315,100,48.044408,100,49.563447,100,48.572237,100
77,53.137436,100,47.994434,100,49.426372,100,48.366190,100
78,53.113557,100,47.947652,100,49.370609,100,48.218746,100
79,53.089678,100,47.901502,100,49.317144,100,48.132560,100
80,53.065799,100,47.796146,100,49.268246,100,48.020334,100
81,53.041920,100,47.659071,100,49.221094,100,47.806795,100
82,53.018041,100,47.511628,100,49.166794,100,47.703606,100
83,52.994161,100,47.444116,100,49.122789,100,47.529261,100
84,52.970282,100,47.200950,100,49.070739,100,47.480264,100
85,52.946403,100,47.096311,100,49.011090,100,47.432754,100
86,52.922524,100,46.915091,100,48.921688,100,47.385046,100
87,52.898645,100,46.667933,100,48.872932,100,47.335863,100
88,52.874766,100,46.520490,100,48.817118,100,47.161518,100
89,52.850887,100,46.371990,100,48.747570,100,47.056879,100
90,52.827008,100,46.186774,100,48.547632,100,46.938997,100
91,52.803129,100,46.074548,100,48.405609,100,46.838291,100
92,52.779250,100,45.861009,100,48.326375,100,46.761027,100
93,52.755371,100,45.780566,100,48.243407,100,46.606693,100
94,52.731492,100,45.723185,100,48.158758,100,46.450806,100
95,52.707613,100,45.625827,100,48.098056,100,46.303526,100
96,52.683734,100,45.562879,100,47.987495,100,46.218884,100
97,52.659855,100,45.357828,100,47.850421,100,46.139650,100
98,52.635976,100,45.310671,100,47.772706,100,46.090224,100
99,52.612097,100,45.263279,100,47.719151,100,45.821749,100
100,52.588218,100,45.016121,100,47.669080,100,45.742309,100
101,52.564339,100,44.801856,100,47.617792,100,45.663075,100
102,52.540460,100,44.601918,100,47.570327,100,45.466738,100
103,52.516581,100,44.446030,100,47.516414,100,45.319458,100
104,52.492702,100,44.379957,100,47.471266,100,45.148597,100
105,52.468823,100,44.255716,100,47.345552,100,45.068154,100
106,52.444944,100,44.067122,100,47.292100,100,45.008691,100
107,52.421065,100,43.915801,100,47.239876,100,44.957680,100
108,52.397186,100,43.803575,100,47.172826,100,44.907269,100
109,52.373307,100,43.720606,100,47.123507,100,44.856895,100
110,52.349428,100,43.562870,100,46.987924,100,44.760273,100
111,52.325549,100,43.496797,100,46.914565,100,44.575802,100
112,52.301670,100,43.283257,100,46.854845,100,44.449615,100
113,52.277791,100,43.200289,100,46.658002,100,44.370174,100
114,52.253912,100,43.033869,100,46.514786,100,44.293049,100
115,52.230033,100,42.936512,100,46.431762,100,44.096205,100
116,52.206153,100,42.858915,100,46.355155,100,43.990021,100
117,52.182274,100,42.653865,100,46.276112,100,43.746855,100
118,52.158395,100,42.606332,100,46.212818,100,43.510576,100
119,52.134516,100,42.558016,100,46.155784,100,43.267410,100
120,52.110637,100,42.350090,100,45.957650,100,43.218932,100
121,52.086758,100,42.118930,100,45.845448,100,43.093218,100
