Round,BCA Energy (J),BCA Alive,LEACH Energy (J),LEACH Alive,DEEC Energy (J),DEEC Alive,SEP Energy (J),SEP Alive
0,54.976012,100,54.940063,100,54.941973,100,54.947718,100
1,54.952023,100,54.870816,100,54.893640,100,54.889841,100
2,54.928035,100,54.817808,100,54.843476,100,54.837378,100
3,54.904046,100,54.770025,100,54.773834,100,54.785838,100
4,54.880058,100,54.722296,100,54.725877,100,54.734564,100
5,54.856070,100,54.666624,100,54.672363,100,54.686175,100
6,54.832081,100,54.619350,100,54.622875,100,54.637243,100
7,54.808093,100,54.564912,100,54.575359,100,54.584243,100
8,54.784104,100,54.510932,100,54.525314,100,54.526705,100
9,54.760116,100,54.417327,100,54.478305,100,54.464404,100
10,54.736128,100,54.358580,100,54.428696,100,54.410908,100
11,54.712139,100,54.305327,100,54.331999,100,54.359836,100
12,54.688151,100,54.236116,100,54.285420,100,54.311951,100
13,54.664162,100,54.186022,100,54.219229,100,54.263305,100
14,54.640174,100,54.125144,100,54.158569,100,54.205828,100
15,54.616186,100,54.076553,100,54.102786,100,54.140205,100
16,54.592197,100,54.020529,100,54.053357,100,54.088510,100
17,54.568209,100,53.969187,100,54.004131,100,54.035199,100
18,54.544220,100,53.923585,100,53.953980,100,53.988587,100
19,54.520232,100,53.871864,100,53.907813,100,53.942334,100
20,54.496244,100,53.779976,100,53.855334,100,53.891958,100
21,54.472255,100,53.636362,100,53.681975,100,53.839603,100
22,54.448267,100,53.487085,100,53.555546,100,53.724863,100
23,54.424278,100,53.420894,100,53.489355,100,53.638747,100
24,54.400290,100,53.344010,100,53.386416,100,53.524007,100
25,54.376302,100,53.266660,100,53.295093,100,53.409843,100
26,54.352313,100,53.189668,100,53.200226,100,53.342826,100
27,54.328325,100,53.134420,100,53.145961,100,53.289799,100
28,54.304336,100,53.086269,100,53.027301,100,53.226592,100
29,54.280348,100,52.965667,100,52.970683,100,53.173762,100
30,54.256360,100,52.902925,100,52.890818,100,53.108211,100
31,54.232371,100,52.851853,100,52.712943,100,53.047432,100
32,54.208383,100,52.795226,100,52.628401,100,53.000696,100
33,54.184394,100,52.746987,100,52.578504,100,52.828960,100
34,54.160406,100,52.682845,100,52.518663,100,52.773751,100
35,54.136417,100,52.635691,100,52.442271,100,52.720830,100
36,54.112429,100,52.588663,100,52.393516,100,52.669595,100
37,54.088441,100,52.543247,100,52.346795,100,52.602535,100
38,54.064452,100,52.497018,100,52.298214,100,52.553614,100
39,54.040464,100,52.451186,100,52.249633,100,52.504269,100
40,54.016475,100,52.352834,100,52.197760,100,52.455490,100
41,53.992487,100,52.209220,100,52.152427,100,52.411129,100
42,53.968499,100,52.124745,100,52.071844,100,52.363608,100
43,53.944510,100,52.040270,100,52.006894,100,52.319803,100
44,53.920522,100,51.975124,100,51.833534,100,52.125838,100
45,53.896533,100,51.860960,100,51.767343,100,52.013148,100
46,53.872545,100,51.794769,100,51.656724,100,51.903435,100
47,53.848557,100,51.680029,100,51.569904,100,51.737507,100
48,53.824568,100,51.624532,100,51.481671,100,51.564147,100
49,53.800580,100,51.496050,100,51.424440,100,51.476198,100
50,53.776591,100,51.366074,100,51.313821,100,51.410321,100
51,53.752603,100,51.313264,100,51.236829,100,51.303099,100
52,53.728615,100,51.228789,100,51.115752,100,51.242500,100
53,53.704626,100,51.065456,100,51.061425,100,51.173713,100
54,53.680638,100,51.009236,100,50.992742,100,51.126084,100
55,53.656649,100,50.958148,100,50.940788,100,50.969422,100
56,53.632661,100,50.909301,100,50.762913,100,50.909297,100
57,53.608673,100,50.863420,100,50.705107,100,50.859630,100
58,53.584684,100,50.819472,100,50.656768,100,50.768078,100
59,53.560696,100,50.775741,100,50.610464,100,50.706263,100
60,53.536707,100,50.633067,100,50.562435,100,50.548551,100
61,53.512719,100,50.567921,100,50.515842,100,50.498177,100
62,53.488731,100,50.416404,100,50.472320,100,50.452015,100
63,53.464742,100,50.297976,100,50.423784,100,50.403800,100
64,53.440754,100,50.211860,100,50.370607,100,50.358051,100
65,53.416765,100,50.058657,100,50.315530,100,50.314777,100
66,53.392777,100,49.934037,100,50.255767,100,50.110944,100
67,53.368789,100,49.862503,100,50.190517,100,49.949371,100
68,53.344800,100,49.732575,100,50.017158,100,49.716897,100
69,53.320812,100,49.648212,100,49.966250,100,49.638636,100
70,53.296823,100,49.521783,100,49.856152,100,49.421491,100
71,53.272835,100,49.458694,100,49.782966,100,49.337127,100
72,53.248847,100,49.313598,100,49.629763,100,49.271981,100
73,53.224858,100,49.234348,100,49.435798,100,49.110408,100
74,53.200870,100,49.180457,100,49.272464,100,49.003479,100
75,53.176881,100,49.128070,100,49.217467,100,48.826721,100
76,53.152893,100,49.013330,100,49.157445,100,48.780151,100
77,53.128905,100,48.964942,100,49.102144,100,48.715005,100
78,53.104916,100,48.921076,100,49.054493,100,48.650984,100
79,53.080928,100,48.875479,100,49.000293,100,48.564868,100
80,53.056939,100,48.783591,100,48.946508,100,48.370903,100
81,53.032951,100,48.640918,100,48.898567,100,48.306156,100
82,53.008963,100,48.575772,100,48.847724,100,48.249102,100
83,52.984974,100,48.444662,100,48.805091,100,48.016681,100
84,52.960986,100,48.246976,100,48.698734,100,47.966115,100
85,52.936997,100,48.176169,100,48.647930,100,47.919727,100
86,52.913009,100,48.100920,100,48.507662,100,47.874582,100
87,52.889021,100,47.970992,100,48.458529,100,47.830414,100
88,52.865032,100,47.883043,100,48.389325,100,47.750109,100
89,52.841044,100,47.665728,100,48.339672,100,47.671848,100
